1,43,29,50
2,43,44,17
3,47,39,22
4,88,36,16
5,199,14,20
6,0,41,11
7,69,29,4
8,141,45,30
9,45,42,22
10,145,29,6
11,66,1,48
12,159,13,34
13,22,22,30
14,99,36,15
15,103,18,18
16,141,5,48
17,4,7,24
18,156,23,35
19,186,27,8
20,38,20,9
21,147,20,25
22,58,32,14
23,61,28,33
24,177,17,25
25,90,2,36
26,136,31,7
27,92,50,45
28,43,23,38
29,160,12,15
30,200,25,9
31,35,18,5
32,155,13,9
33,87,21,11
34,56,3,47
35,92,44,15
36,7,37,16
37,185,36,24
38,144,24,43
39,76,2,13
40,156,36,35
41,120,6,23
42,75,20,39
43,164,24,23
44,113,35,49
45,74,25,32
46,168,14,3
47,55,43,45
48,56,21,43
49,85,35,31
50,132,30,49
51,117,1,39
52,54,4,43
53,6,18,49
54,110,50,2
55,109,12,18
56,33,46,38
57,65,5,33
58,52,45,29
59,150,2,1
60,153,18,50
61,118,36,39
62,141,30,22
63,200,23,27
64,141,1,27
65,161,16,12
66,60,17,40
67,23,10,30
68,187,15,30
69,121,25,50
70,21,13,20
71,164,2,16
72,160,46,18
73,76,21,48
74,3,29,37
75,47,25,2
76,51,38,29
77,38,48,32
78,197,33,25
79,167,38,32
80,77,23,42
81,1,1,25
82,97,25,31
83,99,43,29
84,160,36,16
85,164,24,21
86,6,10,26
87,98,25,6
88,171,35,3
89,163,22,19
90,1,39,35
91,112,40,45
92,120,47,36
93,29,39,37
94,126,7,36
95,141,23,43
96,126,50,30
97,66,44,49
98,97,23,9
99,136,4,23
100,48,38,34
101,8,22,13
102,80,14,19
103,9,47,7
104,69,44,49
105,46,22,46
106,98,37,20
107,119,47,18
108,136,9,15
109,150,2,48
110,161,27,28
111,102,33,15
112,90,4,50
113,145,32,45
114,69,45,20
115,22,8,16
116,81,3,31
117,109,49,11
118,110,9,48
119,35,40,40
120,160,46,10
121,61,38,28
122,55,33,32
123,99,48,5
124,108,6,16
125,68,27,32
126,182,17,27
127,27,33,34
128,186,33,48
129,6,26,32
130,136,41,24
131,190,16,49
132,62,11,41
133,29,13,23
134,181,45,44
135,200,39,17
136,93,33,16
137,45,48,21
138,173,1,3
139,74,1,6
140,184,28,40
141,68,8,28
142,95,41,24
143,83,38,25
144,134,12,22
145,124,4,44
146,124,13,21
147,122,47,48
148,38,38,33
149,41,26,17
150,117,22,14
151,198,10,6
152,88,27,38
153,35,33,39
154,184,14,19
155,55,4,15
156,87,25,42
157,41,42,45
158,147,21,17
159,132,47,43
160,188,29,18
161,55,37,25
162,181,16,14
163,165,24,40
164,148,12,50
165,33,44,16
166,33,14,2
167,58,22,1
168,182,34,5
169,152,3,7
170,83,36,18
171,21,39,34
172,197,33,13
173,154,23,30
174,199,46,7
175,137,37,13
176,18,37,16
177,121,16,29
178,52,46,14
179,172,20,8
180,89,24,13
181,182,37,22
182,97,8,25
183,142,5,25
184,177,31,36
185,91,21,11
186,58,39,28
187,96,25,24
188,104,27,22
189,128,27,1
190,90,38,19
191,59,49,9
192,116,33,12
193,56,11,40
194,1,32,17
195,63,6,44
196,31,38,36
197,11,9,4
198,17,34,28
199,91,13,5
200,128,13,15
201,68,40,21
202,14,39,50
203,163,47,42
204,125,23,49
205,97,10,35
206,0,12,37
207,61,2,43
208,87,25,17
209,73,7,1
210,6,10,13
211,118,45,14
212,135,23,36
213,163,7,33
214,22,31,6
215,168,23,24
216,102,47,2
217,199,19,37
218,177,27,27
219,35,23,23
220,46,18,41
221,76,30,1
222,4,49,17
223,27,6,5
224,39,29,46
225,68,5,41
226,85,3,45
227,178,42,26
228,63,23,38
229,70,27,24
230,168,50,19
231,35,39,32
232,63,29,46
233,123,35,4
234,64,35,28
235,114,13,38
236,56,44,2
237,58,18,41
238,191,41,17
239,52,24,48
240,10,4,10
241,142,41,25
242,158,41,43
243,23,37,40
244,113,22,29
245,139,35,34
246,147,38,48
247,138,42,16
248,166,34,1
249,79,31,1
250,145,12,6
251,95,37,13
252,53,5,16
253,75,45,2
254,83,48,28
255,62,8,20
256,70,28,26
257,44,21,42
258,74,22,20
259,74,25,23
260,80,26,15
261,45,1,21
262,28,44,39
263,137,27,46
264,74,24,38
265,199,38,31
266,121,12,19
267,198,30,30
268,43,39,18
269,44,30,19
270,110,7,8
271,93,6,15
272,140,50,32
273,112,44,27
274,142,50,38
275,187,44,44
276,160,7,39
277,13,38,19
278,102,1,35
279,144,40,23
280,190,19,33
281,170,32,46
282,68,35,45
283,74,30,35
284,25,37,39
285,11,48,15
286,178,47,41
287,36,12,44
288,50,20,16
289,90,39,14
290,99,3,10
291,3,34,27
292,179,38,37
293,116,46,12
294,86,2,15
295,26,30,37
296,53,12,38
297,108,48,45
298,2,27,40
299,124,41,3
300,115,37,7
301,155,33,34
302,106,26,38
303,149,16,43
304,167,36,31
305,138,40,30
306,143,29,6
307,28,32,31
308,184,27,1
309,18,19,47
310,47,50,48
311,101,35,47
312,158,27,14
313,97,48,40
314,71,30,2
315,108,16,32
316,147,15,12
317,33,3,44
318,22,32,4
319,44,28,46
320,138,11,31
321,146,5,43
322,155,9,18
323,132,35,14
324,123,13,27
325,29,3,6
326,6,40,9
327,138,13,42
328,152,6,3
329,149,41,11
330,20,50,22
331,89,33,8
332,40,3,33
333,109,27,50
334,134,39,47
335,159,38,31
336,146,4,5
337,116,6,23
338,172,36,34
339,184,24,7
340,44,28,37
341,5,31,13
342,182,22,36
343,75,37,8
344,116,10,8
345,7,15,8
346,107,36,49
347,88,20,4
348,23,6,34
349,138,1,33
350,113,24,44
351,58,12,42
352,130,18,8
353,32,48,21
354,98,31,37
355,120,45,2
356,21,40,49
357,112,49,7
358,107,42,19
359,123,28,46
360,90,5,11
361,171,26,14
362,189,47,6
363,25,50,44
364,44,5,21
365,92,20,9
366,117,1,37
367,194,7,34
368,139,36,47
369,77,2,7
370,171,46,50
371,143,32,26
372,46,25,28
373,0,29,14
374,3,6,26
375,86,49,30
376,132,3,25
377,200,37,44
378,174,30,50
379,119,21,6
380,117,18,8
381,73,40,43
382,51,36,34
383,111,17,25
384,113,33,31
385,46,2,44
386,155,26,34
387,27,15,12
388,119,15,10
389,199,27,29
390,143,19,14
391,104,22,14
392,39,16,5
393,165,43,34
394,140,13,26
395,164,6,8
396,20,20,48
397,31,10,43
398,5,9,12
399,10,1,46
400,104,42,1
401,187,32,36
402,108,24,29
403,139,31,31
404,97,49,17
405,107,34,11
406,11,10,25
407,196,14,14
408,156,2,31
409,26,38,45
410,154,29,6
411,93,17,45
412,99,5,34
413,69,34,12
414,113,11,29
415,198,35,49
416,56,19,8
417,114,8,6
418,132,27,18
419,6,12,28
420,157,6,42
421,90,41,35
422,73,9,6
423,184,45,33
424,11,2,15
425,174,32,43
426,45,10,3
427,33,31,28
428,186,49,8
429,63,47,34
430,42,31,1
431,114,47,20
432,70,39,11
433,88,13,33
434,80,34,18
435,172,17,41
436,30,45,12
437,138,11,30
438,108,7,13
439,166,12,42
440,116,19,7
441,131,26,41
442,119,31,48
443,1,44,3
444,7,3,40
445,165,48,34
446,79,18,12
447,182,2,41
448,81,40,7
449,91,11,32
450,168,2,28
451,174,24,11
452,173,41,30
453,21,8,15
454,150,50,40
455,92,16,22
456,140,49,43
457,126,5,14
458,173,36,24
459,104,23,44
460,197,8,3
461,159,50,23
462,167,35,11
463,86,5,14
464,49,25,22
465,54,30,40
466,122,37,10
467,167,14,31
468,171,32,24
469,25,11,49
470,75,27,42
471,56,21,1
472,141,46,7
473,196,24,33
474,134,44,5
475,17,17,16
476,163,30,14
477,65,29,40
478,163,2,34
479,97,36,12
480,57,36,25
481,189,32,34
482,119,31,14
483,104,38,48
484,105,31,23
485,181,1,24
486,188,33,33
487,79,4,17
488,117,35,15
489,183,17,13
490,23,7,15
491,105,37,1
492,30,19,31
493,126,19,4
494,6,42,1
495,83,24,17
496,125,31,45
497,100,27,45
498,105,38,10
499,196,3,10
500,166,19,29
501,56,45,27
502,103,26,39
503,98,15,6
504,8,49,22
505,177,13,6
506,137,25,19
507,64,11,28
508,76,35,37
509,200,16,40
510,126,15,8
511,11,36,12
512,187,43,2
513,169,35,6
514,51,49,16
515,177,38,5
516,188,50,45
517,128,43,34
518,180,21,39
519,183,2,26
520,175,26,41
521,193,4,28
522,94,12,9
523,108,31,33
524,110,42,20
525,65,39,17
526,82,41,12
527,146,8,46
528,83,37,26
529,1,2,31
530,197,48,43
531,169,9,13
532,23,47,31
533,22,3,16
534,160,49,31
535,105,48,20
536,84,43,44
537,11,32,21
538,161,39,17
539,69,43,1
540,68,19,49
541,185,34,22
542,191,31,28
543,123,8,36
544,158,36,50
545,125,18,43
546,43,45,23
547,48,10,4
548,161,29,7
549,110,39,17
550,158,49,47
551,25,34,38
552,41,2,40
553,22,49,20
554,112,1,5
555,4,22,43
556,90,27,40
557,164,12,23
558,162,30,50
559,146,43,20
560,54,20,7
561,64,32,30
562,192,33,23
563,109,37,27
564,85,39,23
565,157,1,17
566,130,27,5
567,141,28,11
568,200,22,12
569,151,16,19
570,29,15,30
571,105,9,17
572,116,24,35
573,194,7,45
574,5,27,48
575,84,3,27
576,170,45,9
577,65,43,31
578,142,44,20
579,109,34,21
580,46,22,5
581,62,2,33
582,104,45,44
583,176,13,3
584,88,40,27
585,113,11,5
586,76,6,4
587,125,12,26
588,96,36,12
589,89,33,19
590,86,25,1
591,115,32,27
592,45,44,20
593,63,33,50
594,56,1,22
595,198,25,37
596,142,35,34
597,38,15,16
598,96,11,24
599,38,37,7
600,132,32,4
601,121,38,49
602,199,22,7
603,3,9,45
604,182,1,20
605,59,41,45
606,67,7,37
607,95,39,26
608,127,26,48
609,68,49,11
610,77,36,34
611,194,38,37
612,97,26,49
